"Part";"Value";"Device";"Package";"Description";"";
"BUTTON";"PIN-HEADER-02X1GROUND";"PIN-HEADER-02X1GROUND";"02X1-PAD-2.54PITCH-MASK-NAME";"";"";
"ENC";"";"PIN-HEADER-03X1THRU-254";"MA03-1";"PIN HEADER";"";
"IRL540NPBF";"MOSFET-N-IRL540NPBFBENDED-SHORTEST";"MOSFET-N-IRL540NPBFBENDED-SHORTEST";"TO220AH-SHORTEST-BEND";"";"";
"R";"1k";"RESISTOR";"RESISTOR-THRU-1/4";"";"";
"RST";"PIN-HEADER-02X1GROUND";"PIN-HEADER-02X1GROUND";"02X1-PAD-2.54PITCH-MASK-NAME";"";"";
"SPKR";"PIN-HEADER-02X1GROUND";"PIN-HEADER-02X1GROUND";"02X1-PAD-2.54PITCH-MASK-NAME";"";"";
"SV1";"";"PIN-HEADER-04X01";"MA04-1";"PIN HEADER";"";
"U$1";"RESISTOR";"RESISTOR";"RESISTOR-THRU-1/4";"";"";
"U$2";"POWER-JACK";"POWER-JACK";"JACK-5.5X2.1-THRU";"";"";
"U$3";"ESP32-S2-SAOLA-1";"ESP32-S2-SAOLA-1";"ESP32-S2-SAOLA-1";"";"";
"U$4";"RESISTOR";"RESISTOR";"RESISTOR-THRU-1/4";"";"";
"U$5";"100";"RESISTOR";"RESISTOR-THRU-1/4";"";"";
"U$6";"CAPACITOR-POLARIZEDCAP-DIAM-8.3MM-H-12MM-BENT";"CAPACITOR-POLARIZEDCAP-DIAM-8.3MM-H-12MM-BENT";"CAP-DIAM-8.3MM-H-12MM-BENT";"";"";
"U$7";"";"PIN-HEADER-07X1";"MA07-1";"";"";
"U$8";"DIODE";"DIODE";"DIODE";"";"";
"U$9";"TRIMMER";"TRIMMER";"TRIMMER-PLASTIC-BLUE-9MM-2,54";"";"";
"U$11";"";"PIN-HEADER-07X1";"MA07-1";"";"";
"U$13";"CAPACITOR-POLARIZEDCAP-DIAM-8.3MM-H-12MM-BENT";"CAPACITOR-POLARIZEDCAP-DIAM-8.3MM-H-12MM-BENT";"CAP-DIAM-8.3MM-H-12MM-BENT";"";"";
"U$14";"100u";"CAPACITOR-POLARIZEDCAP-DIAM-6.5MM-H11.3MM-BENT-FLIP";"CAP-DIAM-6.5MM-H-11.3MM-BENT-FLIP";"";"";
